tour,season,tournament_id,tournament_name,course,location,tournament_link
ct,2017,2017726,D+D REAL Czech Challenge,Golf & Spa Kunětická Hora," Dříteč, Czech Republic",/challenge-tour/d-d-real-czech-challenge-2017/
ct,2017,2017730,Swiss Challenge presented by ASG,Golf Sempach," Lucerne, Switzerland",/challenge-tour/swiss-challenge-presented-by-asg-2017/
ct,2017,2017046,LYONESS OPEN powered by ORGANIC+,Diamond CC," Atzenbrugg, near Vienna, Austria",/challenge-tour/lyoness-open-powered-by-organic-2017/
ct,2017,2017732,KPMG Trophy,Royal Waterloo GC," Lasne, Belgium",/challenge-tour/kpmg-trophy-2017/
ct,2017,2017734,Hauts de France Golf Open,Aa Saint-Omer GC," Lumbres, France",/challenge-tour/hauts-de-france-golf-open-2017/
ct,2017,2017736,Made in Denmark Challenge  -  presented by Ejner Hessel,Royal Oak GC," Vejen/Kolding, Denmark",/challenge-tour/made-in-denmark-challenge-presented-by-ejner-hessel-2017/
ct,2017,2017738,SSE Scottish Hydro Challenge hosted by Macdonald Hotels & Resorts,Macdonald Spey Valley GC," Aviemore, Scotland",/challenge-tour/sse-scottish-hydro-challenge-hosted-by-macdonald-hotels-resorts-2017/
ct,2017,2017740,Prague Golf Challenge,Prague City Golf," Prague, Czech Republic",/challenge-tour/prague-golf-challenge-2017/
ct,2017,2017742,Italian Challenge Open by Lyoness,Is Molas Resort," Sardinia, Italy",/challenge-tour/italian-challenge-open-by-lyoness-2017/
ct,2017,2017744,Le Vaudreuil Golf Challenge,Golf PGA France du Vaudreuil," Le Vaudreuil, France",/challenge-tour/le-vaudreuil-golf-challenge-2017/
ct,2017,2017746,Swedish Challenge hosted by Robert Karlsson,Katrineholms GK," Katrineholm, Sweden",/challenge-tour/swedish-challenge-hosted-by-robert-karlsson-2017/
ct,2017,2017748,Vierumäki Finnish Challenge,Vierumäki Resort," Vierumäki, Finland",/challenge-tour/vierumaki-finnish-challenge-2017/
ct,2017,2017750,Galgorm Resort & Spa Northern Ireland Open presented by Modest! Golf,Galgorm Castle," Galgorm, Ballymena, Northern Ireland",/challenge-tour/galgorm-resort-spa-northern-ireland-open-presented-by-modest-golf-2017/
ct,2017,2017752,Viking Challenge,Miklagard Golf Club," Kløfta, Norway",/challenge-tour/viking-challenge-2017/
ct,2017,2017754,Rolex Trophy,Golf Club de Genève," Genève, Switzerland",/challenge-tour/rolex-trophy-2017/
ct,2017,2017072,D+D REAL Czech Masters,Albatross Golf Resort," Prague, Czech Republic",/challenge-tour/d-d-real-czech-masters-2017/
ct,2017,2017756,Cordon Golf Open,Golf Bluegreen de Pléneuf Val André," Pléneuf, France",/challenge-tour/cordon-golf-open-2017/
ct,2017,2017758,Bridgestone Challenge,Luton Hoo Hotel," Golf & Spa, Luton, Bedfordshire, England",/challenge-tour/bridgestone-challenge-2017/
