tour,season,tournament_id,tournament_name,par,yards,course,location
ct,2017,2017740,Prague Golf Challenge,,,Prague City Golf," Prague, Czech Republic"
ct,2017,2017742,Italian Challenge Open by Lyoness,,,Is Molas Resort," Sardinia, Italy"
ct,2017,2017744,Le Vaudreuil Golf Challenge,,,Golf PGA France du Vaudreuil," Le Vaudreuil, France"
ct,2017,2017746,Swedish Challenge hosted by Robert Karlsson,,,Katrineholms GK," Katrineholm, Sweden"
ct,2017,2017748,Vierumäki Finnish Challenge,,,Vierumäki Resort," Vierumäki, Finland"
ct,2017,2017750,Galgorm Resort & Spa Northern Ireland Open presented by Modest! Golf,,,Galgorm Castle," Galgorm, Ballymena, Northern Ireland"
ct,2017,2017752,Viking Challenge,,,Miklagard Golf Club," Kløfta, Norway"
ct,2017,2017754,Rolex Trophy,,,Golf Club de Genève," Genève, Switzerland"
ct,2017,2017072,D+D REAL Czech Masters,,,Albatross Golf Resort," Prague, Czech Republic"
ct,2017,2017756,Cordon Golf Open,,,Golf Bluegreen de Pléneuf Val André," Pléneuf, France"
ct,2017,2017758,Bridgestone Challenge,,,Luton Hoo Hotel," Golf & Spa, Luton, Bedfordshire, England"
ct,2017,2017760,Irish Challenge hosted by Mount Wolseley Hotel Spa and Golf Resort,,,Mount Wolseley Hotel Spa and Golf Resort," Carlow, Ireland"
ct,2017,2017764,Kazakhstan Open,,,Nurtau GC," Almaty, Kazakhstan"
ct,2017,2017762,Challenge de España,,,Izki Golf," Urturi, Alava Province, Spain"
ct,2017,2017768,Hainan Open,,,Sanya Luhuitou GC," Donghai Bay, Sanya, Hainan Island, China"
ct,2017,2017770,The Foshan Open,,,Foshan GC," Guangdong, China"
ct,2017,2017772,"Ras Al Khaimah, 2017 Golf Challenge",,,Al Hamra GC," Ras Al Khaimah, UAE"
ct,2017,2017774,NBO Golf Classic Grand Final,,,Al Mouj Golf," Muscat, Oman"
ct,2016,2016710,Barclays Kenya Open,,,Karen Country Club," Nairobi, Kenya"
ct,2016,2016720,Red Sea Egyptian Challenge presented by Hassan Allam Properties,,,Sokhna GC," Ain Sokhna, Suez, Egypt"
ct,2016,2016722,Challenge de Madrid,,,Real Club de Golf La Herrería," Madrid, Spain"
ct,2016,2016724,Turkish Airlines Challenge,,,Gloria GC," Belek, Antalya, Turkey"
ct,2016,2016726,Montecchia Open by Lyoness,,,Golf della Montecchia," Padova, Italy"
ct,2016,2016730,D+D REAL Czech Challenge,,,Golf & Spa Kunětická Hora," Dříteč, Czech Republic"
ct,2016,2016732,Swiss Challenge presented by Association Suisse de Golf,,,Golf Sempach," Lucerne, Switzerland"
ct,2016,2016734,KPMG Trophy,,,Cleydael G&CC," Aartselaar, Belgium"
ct,2016,2016736,Najeti Open,,,Aa Saint-Omer GC," Lumbres, France"
ct,2016,2016738,SSE Scottish Hydro Challenge hosted by Macdonald Hotels and Resorts,,,Macdonald Spey Valley GC," Aviemore, Scotland"
ct,2016,2016740,Made in Denmark Challenge – presented by Ejner Hessel,,,Aalborg GK," Aalborg, Denmark"
ct,2016,2016742,D+D REAL Slovakia Challenge,,,Penati Golf Resort," Senica, Slovakia"
ct,2016,2016744,Fred Olsen Challenge de España,,,Tecina Golf," La Gomera, Canary Islands, Spain"
ct,2016,2016746,Le Vaudreuil Golf Challenge,,,Golf PGA France du Vaudreuil," Le Vaudreuil, France"
ct,2016,2016748,Tayto Northern Ireland Open in Partnership with Ulster Bank,,,Galgorm Castle," Galgorm, Ballymena, Northern Ireland"
ct,2016,2016750,Swedish Challenge hosted by Robert Karlsson,,,Katrineholms GK," Katrineholm, Sweden"
ct,2016,2016752,Vierumäki Finnish Challenge,,,Vierumäki Resort," Vierumäki, Finland"
ct,2016,2016754,Rolex Trophy,,,Golf Club de Genève," Genève, Switzerland"
ct,2016,2016756,Bridgestone Challenge,,,Heythrop Park Resort," Enstone, Oxfordshire, England"
ct,2016,2016758,Cordon Golf Open,,,Golf Bluegreen de Pléneuf Val André," Pléneuf, France"
ct,2016,2016760,Volopa Irish Challenge hosted by Mount Wolseley Hotel Spa and Golf Resort,,,Mount Wolseley Hotel Spa and Golf Resort," Carlow, Ireland"
ct,2016,2016766,Kazakhstan Open,,,Zhailjau Golf Resort," Almaty, Kazakhstan"
ct,2016,2016768,Terre dei Consoli Open,,,Terre Dei Consoli Golf Club," Monterosi, Italy"
ct,2016,2016770,Hainan Open,,,Sanya Luhuitou GC," Donghai Bay, Sanya, Hainan Island, China"
ct,2016,2016772,Foshan Open,,,Foshan GC," Guangdong, China"
ct,2016,2016774,"Ras Al Khaimah, 2016 Golf Challenge",,,Al Hamra GC," Ras Al Khaimah, UAE"
ct,2016,2016776,NBO Golf Classic Grand Final,,,Al Mouj Golf," Muscat, Oman"
