player_name,avg_dk_pts_gained,min_dk_pts_gained,max_dk_pts_gained,win_dk,top5_dk,top10_dk,top20_dk,tournament_id,sim_type
Justin Thomas,12.286119629044425,-15.764022849498824,60.04034616939549,6.7299999999999995,22.05,34.22,50.8,401056513,non_adjusted
Tony Finau,10.629133631645143,-18.682488902416576,60.81436283298284,4.46,17.169999999999998,28.24,45.879999999999995,401056513,non_adjusted
Jon Rahm,10.439690627064008,-17.6527917418351,62.224016033625084,4.29,16.74,27.96,44.85,401056513,non_adjusted
Cameron Champ,10.196986225165567,-20.234879044968377,58.82542729738781,4.87,17.51,29.110000000000003,44.07,401056513,non_adjusted
Phil Mickelson,9.844458824777837,-18.13636330062701,53.757896354365954,4.43,16.02,26.6,42.42,401056513,non_adjusted
Rickie Fowler,8.435563520857876,-19.775241732151713,55.79639694109402,2.75,12.65,22.12,37.14,401056513,non_adjusted
Gary Woodland,7.471862129974084,-21.84915348405627,52.01084088061248,2.96,11.3,19.97,33.69,401056513,non_adjusted
Webb Simpson,7.363814628328894,-18.64187706122246,51.202793915070465,2.59,10.96,19.15,33.43,401056513,non_adjusted
Sam Burns,7.0861569623242175,-22.86248893737382,56.315897412939854,2.9899999999999998,12.02,20.26,33.11,401056513,non_adjusted
Sungjae Im,6.747775187496648,-20.061516479048116,61.9092089159753,1.9,9.06,16.869999999999997,30.95,401056513,non_adjusted
Anders Albertson,6.0699714650950645,-22.735859645435944,50.310946865070576,1.8499999999999999,8.110000000000001,15.89,29.03,401056513,non_adjusted
Hideki Matsuyama,6.0674447806867535,-22.348157744512203,55.663676440771006,1.94,8.62,16.29,28.92,401056513,non_adjusted
Xander Schauffele,6.051942852602551,-20.61453185704187,52.966790882047405,1.77,8.25,15.65,28.77,401056513,non_adjusted
Carlos Ortiz,5.748043772782349,-22.679714318872808,50.66440080056802,2.21,9.08,16.18,28.48,401056513,non_adjusted
Emiliano Grillo,5.96702995088875,-19.91343579723101,45.28968732526995,1.4500000000000002,7.7,14.829999999999998,28.26,401056513,non_adjusted
Luke List,5.7292051915408715,-20.785383611186905,46.181229358467206,1.35,7.340000000000001,14.69,27.26,401056513,non_adjusted
Tyrrell Hatton,5.606605108464098,-22.547965821611413,48.318263907772774,1.76,8.19,15.299999999999999,27.04,401056513,non_adjusted
