Player,SlatePlayerID,Ownership,Sample,%:,Cut,Top 20,Top 5,Win,DK:,SD,Salary,Finish Pts,Scoring Pts,Points,Value,FD:,SD,Salary,Finish Pts,Scoring Pts,Points,Value,Yahoo:,Salary,Finish Pts,Scoring Pts,Points,Value
Padraig Harrington,0,0.11,150,,0.4436,0.0739,0.0116,0.001525,,25.09391667,6200,1.1696,41.5588,42.73,-3.4,,27.12972475,7300,0.7724,38.73662,39.51,-1.02,,,0.5021,34.22539,34.73,471.33
Ted Potter Jr.,0,0.11,150,,0.38235,0.059125,0.00995,0.001275,,25.07322354,6300,1.0635,40.8663,41.93,-5.53,,27.05165419,7100,0.7041,37.67337,38.38,-2.57,,,0.478,32.90575,33.38,411.22
Kiradech Aphibarnrat,0,0.11,150,,0.38325,0.056225,0.008525,0.0014,,25.03375511,6100,1.0218,40.86775,41.89,-4.07,,26.97861408,7000,0.6794,37.59811,38.28,-1.71,,,0.4358,32.74593,33.18,528.84
D.J. Trahan,0,0.11,150,,0.396625,0.0611,0.008775,0.000875,,24.52353056,6000,1.039,40.6154,41.65,-3.71,,26.47532523,7000,0.677,37.53914,38.22,-1.29,,,0.4336,33.07098,33.5,588.03
David Hearn,0,0.11,150,,0.38765,0.05345,0.007375,0.000825,,24.19472203,6300,1.0308,40.25405,41.28,-6.64,,26.09126276,7400,0.6713,37.21716,37.89,-3.04,,,0.4321,32.92368,33.36,411.2
Luke Donald,0,0.11,150,,0.371925,0.05155,0.007325,0.00105,,24.48599827,6100,0.9853,40.22735,41.21,-5.23,,26.42162848,7000,0.6481,37.04362,37.69,-2.27,,,0.4134,32.42507,32.84,528.54
Michael Gligic,0,0.22,150,,0.36425,0.046375,0.006375,0.0009,,23.93047155,6200,0.9006,39.2145,40.12,-7.85,,25.80546784,7300,0.5847,35.89962,36.48,-3.9,,,0.3692,31.31994,31.69,468.6
Jimmy Walker,0,0.33,150,,0.3368,0.04215,0.006075,0.000625,,23.87820316,6100,0.8536,38.67965,39.53,-8.09,,25.78417515,7000,0.5539,35.18784,35.74,-4.13,,,0.3515,30.47523,30.83,526.73
Sebastian Cappelen,0,0.11,150,,0.34785,0.04125,0.006075,0.000625,,23.63290387,6200,0.8208,38.50955,39.33,-9.2,,25.49235864,7000,0.5254,35.02917,35.55,-4.79,,,0.3323,30.4007,30.73,467.74
Kelly Kraft,0,0.11,150,,0.3587,0.042025,0.0057,0.00055,,23.3512025,6100,0.7867,37.80465,38.59,-9.69,,25.21783352,7000,0.5035,34.26115,34.76,-5.06,,,0.3155,29.7413,30.06,526.04
Satoshi Kodaira,0,0.11,150,,0.3423,0.041675,0.0056,0.0007,,23.31872573,6100,0.7617,37.8004,38.56,-9.75,,25.10297619,7000,0.4794,34.2361,34.72,-5.1,,,0.2987,29.70443,30,525.98
Sean O'Hair,0,0.11,150,,0.32235,0.0344,0.003975,0.000425,,22.91931771,6000,0.7122,37.2167,37.93,-10.05,,24.70014389,7000,0.4586,33.57686,34.04,-5.27,,,0.284,28.9639,29.25,584.21
J.J. Spaun,0,0.11,150,,0.32825,0.03515,0.003775,0.000425,,22.98155334,6200,0.7322,37.18845,37.92,-11.6,,24.75750156,7000,0.4525,33.67885,34.13,-6.14,,,0.2921,29.29253,29.58,466.7
K.J. Choi,0,0.11,150,,0.337625,0.03575,0.004175,0.0004,,22.65312286,6100,0.6791,36.8999,37.58,-11.42,,24.42907109,7000,0.4212,33.20732,33.63,-6.14,,,0.2584,28.64198,28.9,524.99
Mac Meissner,0,0.11,150,,0.34095,0.0364,0.00455,0.0006,,22.91993563,6000,0.7043,36.76475,37.47,-10.84,,,,0,0,0,-37.65,,,0.2852,28.43019,28.72,583.73
Sung Kang,0,0.11,150,,0.315075,0.02975,0.003675,0.000425,,22.56050901,6000,0.581,36.4657,37.05,-11.56,,24.27037431,7000,0.3603,32.37821,32.74,-6.51,,,0.2143,27.46682,27.68,582.8
Tain Lee,0,0.11,150,,0.287025,0.028325,0.004,0.000375,,22.61123925,6000,0.593386582,36.2963544,36.89,-11.83,,,,0,0,0,-37.65,,,0,0,0,557.92
Rhein Gibson,0,0.11,150,,0.298075,0.02765,0.00355,0.000325,,22.48140437,6100,0.6235,36.0891,36.71,-12.9,,24.22760896,7700,0.3919,32.18478,32.58,-7.13,,,0.2404,27.55591,27.8,524.01
Henrik Stenson,0,0.11,150,,0.32715,0.0319,0.00395,0.000275,,21.96518574,6400,0.596,35.5755,36.17,-16.12,,23.63908225,7500,0.3572,31.74548,32.1,-9.02,,,0.2114,27.30333,27.51,347.04
Nick Watney,0,0.11,150,,0.318075,0.0294,0.002825,0.000325,,21.90024708,6200,0.5908,35.45885,36.05,-14.79,,23.60598411,7600,0.3615,31.60156,31.96,-8.2,,,0.2228,27.08594,27.31,464.66
Austin Eckroat,0,2.92,150,,0.283675,0.024325,0.00275,0.0002,,21.6790841,6300,0.5251,34.92405,35.45,-16.58,,23.38737898,7900,0.316,30.91547,31.23,-9.37,,,0.1831,26.31241,26.5,405.03
Michael Kim,0,0.11,150,,0.2363,0.016375,0.002125,0.00025,,20.67189617,6100,0.4123,32.63885,33.05,-19.14,,22.24124465,7000,0.2431,28.22773,28.47,-11.04,,,0.1465,23.58797,23.73,520.35
Sam Bennett,0,0.11,114,,0.230125,0.014675,0.001325,0.000175,,20.37950799,6000,0.4008,32.36755,32.77,-18.85,,,,0,0,0,-37.65,,,0.1341,23.45404,23.59,579.12
Sam Fidone,0,0.11,150,,0.234875,0.01585,0.001675,0,,20.31155874,6000,0.352067507,31.7785356,32.13,-19.95,,21.88071585,7200,0.189020093,27.23259896,27.42,-11.57,,,0,0,0,557.92
Bo Van Pelt,0,0.11,150,,0.21765,0.01175,0.000875,0.0001,,20.03584608,6100,0.3679,31.69285,32.06,-20.83,,21.62292025,7000,0.2184,27.26333,27.48,-11.99,,,0.1272,22.75005,22.88,519.58
D.A. Points,0,0.11,150,,0.128275,0.0033,0.0002,0.000025,,16.66822485,6000,0.1611,26.59685,26.76,-29.1,,18.15229701,7000,0.0838,21.43715,21.52,-17.18,,,0.0436,16.91742,16.96,573.16
Martin Trainer,0,0.11,150,,0.12935,0.0031,0.000225,0,,15.78981598,6000,0.1225,25.58575,25.71,-30.9,,17.23027156,7000,0.0634,20.15782,20.22,-18.42,,,0.0342,15.52976,15.56,571.9
Hunter Mahan,0,0.11,150,,0.1299,0.0026,0.000075,0,,15.46023004,6000,0.1075,25.47625,25.58,-31.12,,16.86287015,7000,0.0544,20.08724,20.14,-18.49,,,0.0321,15.52846,15.56,571.9
Kevin Stadler,0,0.11,150,,0.11205,0.00195,0.000025,0,,15.09990656,6000,0.0932,24.76035,24.85,-32.36,,16.58922753,7000,0.0423,19.19163,19.23,-19.36,,,0.0219,14.46576,14.49,570.94
Davis Love III,0,0.11,150,,0.105375,0.001675,0.00005,0,,14.52032514,6000,0.0784,24.0992,24.18,-33.5,,15.91735591,7000,0.037,18.45075,18.49,-20.06,,,0.0188,13.82928,13.85,570.37
Carlos Sainz,0,0.11,150,,0.094775,0.001525,0.000025,0,,14.44809972,6000,0.0774,23.5887,23.67,-34.37,,,,0,0,0,-37.65,,,0.0179,13.14511,13.16,569.75
Patrick Grimes,0,0.11,100,,0.08275,0.0007,0.00005,0,,13.83601611,6000,0.025525771,20.70129549,20.73,-39.39,,,,0,0,0,-37.65,,,0,0,0,557.92
J.J. Killeen,0,0.11,113,,0.031225,0.0001,0,0,,9.566010536,6000,0,14.12113227,14.12,-50.66,,,,0,0,0,-37.65,,,0,0,0,557.92
