Player,SlatePlayerID,Ownership,Sample,%:,Cut,Top 20,Top 5,Win,DK:,SD,Salary,Finish Pts,Scoring Pts,Points,Value,FD:,SD,Salary,Finish Pts,Scoring Pts,Points,Value,Yahoo:,Salary,Finish Pts,Scoring Pts,Points,Value
Denny McCarthy,0,7.86,150,,0.6207,0.213975,0.05385,0.010025,,28.88319338,7300,3.0143,53.37945,56.39,11.48,,31.30524295,9000,2.1277,52.53525,54.66,8.16,,,1.5942,47.9276,49.52,-163.29
Doug Ghim,0,14.39,150,,0.620975,0.210375,0.05375,0.011025,,29.33678568,7300,2.8821,53.06695,55.95,10.73,,31.72693854,9100,2.0424,51.92873,53.97,7.5,,,1.535,47.15324,48.69,-164.04
Sepp Straka,0,8.4,150,,0.593525,0.19255,0.046875,0.00875,,29.07834406,7300,2.8018,53.1333,55.94,10.71,,31.37775262,8600,1.9952,51.96035,53.96,7.49,,,1.4866,47.10156,48.59,-164.13
Luke List,0,2.58,150,,0.61485,0.20155,0.04895,0.00905,,29.18245274,7000,2.8393,53.0541,55.89,12.92,,31.53673389,8700,2.0091,51.91822,53.93,8.89,,,1.5051,47.10529,48.61,12.6
Joel Dahmen,0,3.92,150,,0.61595,0.20355,0.051225,0.0099,,29.25070745,8200,2.7985,53.0716,55.87,3.71,,31.53680029,9600,1.9759,51.88176,53.86,3.11,,,1.4878,46.94945,48.44,-694.38
Jhonattan Vegas,0,7.02,150,,0.616375,0.20735,0.05445,0.010875,,29.53729518,7400,2.844,52.9281,55.77,9.66,,31.85958206,9200,2.0154,51.72126,53.74,6.81,,,1.5174,46.89823,48.42,-223.18
Andrew Putnam,0,7.56,150,,0.6236,0.2095,0.052025,0.0107,,28.74389665,7600,2.7663,52.57765,55.34,7.4,,31.06450343,9500,1.9671,51.43384,53.4,5.53,,,1.4537,46.75915,48.21,-341.18
Nick Taylor,0,3.46,150,,0.61935,0.1981,0.048225,0.00915,,28.57380541,6900,2.7365,52.49645,55.23,12.56,,30.9076752,8300,1.9564,51.33717,53.29,8.76,,,1.4258,46.66616,48.09,71.03
Adam Hadwin,0,4.26,150,,0.62455,0.20595,0.051225,0.00895,,29.0430551,8300,2.7946,52.29215,55.09,1.62,,31.36624691,9400,1.9637,51.12527,53.09,1.9,,,1.4805,46.47004,47.95,-753.72
Cameron Champ,0,5.4,150,,0.5999,0.1895,0.04555,0.00775,,29.06917405,7000,2.6212,51.9275,54.55,10.64,,31.40949449,8300,1.8662,50.518,52.38,7.42,,,1.3865,45.69828,47.08,11.22
Erik Van Rooyen,0,5.62,150,,0.58105,0.179925,0.042225,0.0072,,28.68512435,7500,2.647,51.87645,54.52,6.76,,31.05127078,9000,1.8816,50.61875,52.5,5.15,,,1.3875,45.93088,47.32,-283.07
Branden Grace,0,9.73,150,,0.594175,0.18705,0.0432,0.00875,,28.67838505,7800,2.6937,51.79915,54.49,4.42,,31.07052057,9200,1.9243,50.60395,52.53,3.75,,,1.4192,46.04324,47.46,-459.65
